image_name,Tile,Satellite,Sensor,Date,WRS_Path,WRS_Row,Country,Latitude,Longitude,AvgTemp,MaxTemp,MinTemp,CleanIcePercentage,DebrisIcePercentage,BackgroundPercentage,MeanIceNDVI,MeanDebrisNDVI,MeanBackgroundNDVI,MeanIceNDSI,MeanDebrisNDSI,MeanBackgroundNDSI,MeanIceNDWI,MeanDebrisNDWI,MeanBackgroundNDWI,MeanIceElevation,MeanDebrisElevation,MeanBackgroundElevation,MeanIceSlope,MeanDebrisSlope,MeanBackgroundSlope
slice_10_img_174.npy,LE07_151034_20050822,Landsat 7,ETM+,2005-08-22,151,034,Tajikistan,37.170713,72.0434,6.472,13.126,1.058,0.285599,0.007454,0.706947,-0.032412,-0.026119,0.016115,-0.352547,-0.382846,-0.679895,0.440318,0.678519,0.62655,3679.495605,3283.633301,3978.166992,-0.727584,-1.302124,0.298175
slice_10_img_175.npy,LE07_151034_20050822,Landsat 7,ETM+,2005-08-22,151,034,Tajikistan,37.170713,72.0434,6.472,13.126,1.058,0.196037,0.017551,0.786411,-0.067764,0.145222,0.256493,-0.684302,-0.555382,-0.518819,0.561095,0.617786,0.461026,3338.249756,5360.099121,3293.86084,-0.228064,-1.14792,0.119802
slice_10_img_187.npy,LE07_151034_20050822,Landsat 7,ETM+,2005-08-22,151,034,Tajikistan,37.170713,72.0434,6.472,13.126,1.058,0.333946,0.028675,0.637379,0.111947,0.284597,0.168027,-0.362395,-0.067713,-0.619165,0.321764,0.565632,0.607649,3662.229248,4219.145996,3769.693604,-0.435782,-1.313072,0.504442
slice_10_img_188.npy,LE07_151034_20050822,Landsat 7,ETM+,2005-08-22,151,034,Tajikistan,37.170713,72.0434,6.472,13.126,1.058,0.114872,0.03413,0.850998,0.07747,0.254062,0.165709,-0.626861,-0.201613,-0.738504,0.629885,0.6095,0.705002,4686.004883,4051.317383,3663.756836,-0.485559,-1.342996,0.243132
slice_10_img_189.npy,LE07_151034_20050822,Landsat 7,ETM+,2005-08-22,151,034,Tajikistan,37.170713,72.0434,6.472,13.126,1.058,0.114243,0.020432,0.865326,0.000616,0.254151,0.189872,-0.433941,-0.372512,-0.720595,0.492737,0.604711,0.69513,5233.56543,6463.478027,4256.180176,-0.552798,-1.173903,0.123813
slice_10_img_191.npy,LE07_151034_20050822,Landsat 7,ETM+,2005-08-22,151,034,Tajikistan,37.170713,72.0434,6.472,13.126,1.058,0.262569,0.019402,0.718029,-0.086274,-0.174928,0.100132,-0.569055,-0.611202,-0.605566,0.420328,0.678642,0.524794,4353.442383,3399.661865,3033.175781,-0.333854,-1.238176,0.343911
slice_11_img_050.npy,LE07_139041_20051208,Landsat 7,ETM+,2005-12-08,139,041,Nepal,27.642629,88.38948,-1.433,2.049,-3.481,0.144833,0.022739,0.832428,0.061934,0.300273,0.532924,-0.760938,0.248252,0.280411,0.649975,-0.445193,-0.332167,6978.760254,3876.91333,2044.392822,-0.502512,-1.089649,-1.386909
slice_11_img_080.npy,LE07_139041_20051208,Landsat 7,ETM+,2005-12-08,139,041,Nepal,27.642629,88.38948,-1.433,2.049,-3.481,0.161732,0.058182,0.780087,0.088027,-0.071547,-0.229618,-0.604485,0.20837,0.282416,0.459229,-0.452087,-0.396024,3685.867676,4171.45166,3183.794189,0.044953,-1.344129,0.39
slice_11_img_081.npy,LE07_139041_20051208,Landsat 7,ETM+,2005-12-08,139,041,Nepal,27.642629,88.38948,-1.433,2.049,-3.481,0.387493,0.078312,0.534195,0.365616,0.096642,-0.071458,-0.722256,0.179499,-0.068299,0.60269,-0.405989,-0.080997,3744.955566,2966.218262,2781.961182,0.312804,-1.292143,0.558978
slice_12_img_106.npy,LE07_148035_20061108,Landsat 7,ETM+,2006-11-08,148,035,India,35.42123,76.594613,-16.519,-10.719,-19.799,0.633884,0.007336,0.35878,-0.051132,-0.228314,-0.138664,-0.285057,-0.114953,-0.274977,0.619862,0.064581,0.468019,2851.98291,2363.822266,3366.9375,-0.769586,-1.230378,0.55008
